E81C	History	clock,time,arrow,back,undo,recent,circle
E81D	Location	pin,marker,map,travel
E81E	MapLayers	travel,navigation
E81F	Accident	car
E821	Work	bag,handbag,briefcase,office
E822	Construction	person,user,work
E823	Recent	clock,time,history,latest,new,update,symbol-icon
E825	Bank	finance,money,account,deposit,institution
E826	DownloadMap	travel,navigation
E829	InkingToolFill2	draw,paint,sketch
E82A	HighlightFill2	marker,edit,draw,focus
E82B	EraseToolFill	undo,remove,delete,eraser,rubber
E82C	EraseToolFill2	undo,remove,delete,eraser,rubber
E82D	Dictionary	book,reference
E82E	DictionaryAdd	+,plus,book,reference
E82F	ToolTip	light,lightbulb,light,illuminate,knowledge,smart,idea
E830	ChromeBack	arrow,back,navigate,browser
E835	ProvisioningPackage	configuration,settings,configuration
E836	AddRemoteDevice	connect,remote,pair
E838	FolderOpen	collection,directory,file,storage
E839	Ethernet	cable,network,connection,wired,internet
E83A	ShareBroadband	arrow
E83B	DirectAccess	direct,access,database
E83C	DialUp	phone,call,number
E83D	DefenderApp	shield,security,protection,safety
E83E	BatteryCharging9	charge,power
E83F	Battery10	charge,power
E840	Pinned	save,share,post,favorite,favourite
E841	PinFill	save,share,post,favorite,favourite
E842	PinnedFill	save,share,post,favorite,favourite
E843	PeriodKey	dot,keyboard,punctuation
E844	PuncKey	symbol,keyboard,punctuation
E845	RevToggleKey	arrow,reverse,keyboard
E846	RightArrowKeyTime1	navigate,forward,progress
E847	RightArrowKeyTime2	navigate,forward,progress
E848	LeftQuote	opening,text,symbol,mark
E849	RightQuote	ending,text,symbol,mark
E84A	DownShiftKey	abc,lowercase
E84B	UpShiftKey	abc,uppercase
E84C	PuncKey0	symbol,keyboard,punctuation
E84D	PuncKeyLeftBottom	symbol,keyboard,punctuation
E84E	RightArrowKeyTime3	navigate,forward,progress
E84F	RightArrowKeyTime4	navigate,forward,progress
E850	Battery0	charge,power
E851	Battery1	charge,power
E852	Battery2	charge,power
E853	Battery3	charge,power
E854	Battery4	charge,power
E855	Battery5	charge,power
E856	Battery6	charge,power
E857	Battery7	charge,power
E858	Battery8	charge,power
E859	Battery9	charge,power
E85A	BatteryCharging0	power
E85B	BatteryCharging1	power
E85C	BatteryCharging2	power
E85D	BatteryCharging3	power
E85E	BatteryCharging4	power
E85F	BatteryCharging5	power
E860	BatteryCharging6	power
E861	BatteryCharging7	power
E862	BatteryCharging8	power
E863	BatterySaver0	charge,power,eco friendly
E864	BatterySaver1	charge,power,eco friendly
E865	BatterySaver2	charge,power,eco friendly
E866	BatterySaver3	charge,power,eco friendly
E867	BatterySaver4	charge,power,eco friendly
E868	BatterySaver5	charge,power,eco friendly
E869	BatterySaver6	charge,power,eco friendly
E86A	BatterySaver7	charge,power,eco friendly
E86B	BatterySaver8	charge,power,eco friendly
E86C	SignalBars1	network,connection
E86D	SignalBars2	network,connection
E86E	SignalBars3	network,connection
E86F	SignalBars4	network,connection
E870	SignalBars5	network,connection
E871	SignalNotConnected	network,connection
E872	Wifi1	wireless fidelity,connect,internet,web,connection,network,wlan,lan
E873	Wifi2	wireless fidelity,connect,internet,web,connection,network,wlan,lan
E874	Wifi3	wireless fidelity,connect,internet,web,connection,network,wlan,lan
E875	MobSIMLock	security,phone,restricted
E876	MobSIMMissing	error,phone,absent
E877	Vibrate	phone,notification,alert,silent,alert
E878	RoamingInternational	triangle
E879	RoamingDomestic	triangle
E87A	CallForwardInternational	triangle
E87B	CallForwardRoaming	triangle
E87C	JpnRomanji	english,Japanese,transliteration,alphabet,language
E87D	JpnRomanjiLock	english,Japanese,transliteration,alphabet,language
E87E	JpnRomanjiShift	english,Japanese,transliteration,alphabet,language
E87F	JpnRomanjiShiftLock	Japanese,transliteration,alphabet,language
E880	StatusDataTransfer	network,connection
E881	StatusDataTransferVPN	secure,network,connection
E882	StatusDualSIM2	number,connection,network
E883	StatusDualSIM2VPN	secure,network,connection
E884	StatusDualSIM1	number,network,connection
E885	StatusDualSIM1VPN	secure,network,connection
E886	StatusSGLTE	network,connection
E887	StatusSGLTECell	phone,network,connection
E888	StatusSGLTEDataVPN	secure,network,connection
E889	StatusVPN	lock,secure,network,connection
E88A	WifiHotspot	connection,network,share,network,wlan,lan
E88B	LanguageKor	korean,transliteration,alphabet,language
E88C	LanguageCht	chinese,transliteration,alphabet,language
E88D	LanguageChs	chinese,transliteration,alphabet,language
E88E	USB	device,universal series bus,storage,drive
E88F	InkingToolFill	draw,paint,sketch
E890	View	vision,see,eye,focus,look,password,symbol-icon
E891	HighlightFill	marker,edit,draw,focus
E892	Previous	control,playback,start,begin,symbol-icon
E893	Next	video,skip,jump,fast forward,play,symbol-icon
E894	Clear	x,close,cancel,delete,remove,exit,symbol-icon
E895	Sync	arrow,update,refresh,sync,refresh,symbol-icon
E896	Download	arrow,file,save,retrieve,transfer,symbol-icon
E897	Help	?,question,support,guide,assistance,info,symbol-icon
E898	Upload	file,send,transfer,cloud,symbol-icon
E899	Emoji	face,smiley,emote,feeling,symbol-icon
E89A	TwoPage	2,document,file,sheet,paper,text,symbol-icon
E89B	LeaveChat	exit,leave,message,conversation,disconnect,symbol-icon
E89C	MailForward	send,arrow,envelope,email,delivery,message,letter,symbol-icon
E89E	RotateCamera	image,photography,picture,flip,switch,direction,symbol-icon
E89F	ClosePane	sidebar,hide,exit,collapse,symbol-icon
E8A0	OpenPane	sidebar,expand,menu,show,symbol-icon
E8A1	PreviewLink	content,block,symbol-icon
E8A2	AttachCamera	image,photography,picture,symbol-icon
E8A3	ZoomIn	zoom out,magnifying glass,search,symbol-icon
E8A4	Bookmarks	read,list,bullet points,formatting,symbol-icon
E8A5	Document	page,file,sheet,paper,text,symbol-icon
E8A6	ProtectedDocument	page,file,sheet,paper,text,secure,lock,symbol-icon
E8A7	OpenInNewWindow	expand,external,launch,view,shortcut
E8A8	MailFill	email,message,symbol-icon
E8A9	ViewAll	list,browse,expand,symbol-icon
E8AA	VideoChat	call,camera,conversation,meeting,connect,symbol-icon
E8AB	Switch	arrow,change,swap,toggle,shift,alternate,symbol-icon
E8AC	Rename	input,text,type,info,ui,box,form,edit,change,modify,label,update,symbol-icon
E8AD	Go	arrow,start,move,launch,begin,symbol-icon
E8AE	SurfaceHub	device,physical,product,screen,touch screen,presentation
E8AF	Remote	cloud,connect,device,symbol-icon
E8B0	Click	pointer,tap,press,select,activate,choose
E8B1	Shuffle	arrow,random,mix,rearrange,order,symbol-icon
E8B2	Movies	cinema,entertainment,video,screen
E8B3	SelectAll	selection,check,checkmark,check multiple,symbol-icon
E8B4	Orientation	rotate,horizontal,vertical,symbol-icon
E8B5	Import	arrow,upload,file,add,transfer,symbol-icon
E8B6	ImportAll	arrow,arrow,upload,file,add,transfer,symbol-icon
E8B7	Folder	collection,directory,file,storage,symbol-icon
E8B8	Webcam	capture,stream,meeting,symbol-icon
E8B9	Picture	image,photo,snapshot,portrait,frame,gallery,canvas,visual,view,symbol-icon
E8BA	Caption	image,photo,snapshot,portrait,frame,gallery,canvas,visual,view,label,text,symbol-icon
E8BB	ChromeClose	x,exit,cancel,shut,dismiss
E8BC	ShowResults	list,bullet points,formatting,display,view,symbol-icon
E8BD	Message	chat,message,text,notification,bubble,symbol-icon
E8BE	Leaf	nature,eco,environment,sustainability,green
E8BF	CalendarDay	time,date,planning,symbol-icon
E8C0	CalendarWeek	time,date,planning,symbol-icon
E8C1	Characters	letters,symbols,alphabet,writing,glyphs,symbol-icon
E8C2	MailReplyAll	envelope,email,delivery,message,respond,letter,symbol-icon
E8C3	Read	mail,envelope,email,delivery,message,letter,symbol-icon
E8C4	ShowBcc	email,recipient,hidden,symbol-icon
E8C5	HideBcc	email,bcc,hide,privacy,recipient,symbol-icon
E8C6	Cut	copy,paste,share,move,transfer,clipboard,clip,edit,trim,divide,scissors,symbol-icon
E8C7	PaymentCard	currency,money,credit card
E8C8	Copy	share,paste,clipboard,symbol-icon
E8C9	Important	!,priority,highlight,urgent,attention,critical,symbol-icon
E8CA	MailReply	envelope,email,delivery,message,respond,letter,symbol-icon
E8CB	Sort	arrow,arrange,order,filter,organize,organise,sequence,symbol-icon
E8CC	MobileTablet	device,screen,physical,watch,view,video,phone
E8CD	DisconnectDrive	remove,unmount,eject,symbol-icon
E8CE	MapDrive	network,connect,link,symbol-icon
E8CF	ContactPresence	status,availability,online,symbol-icon
E8D0	Priority	!,arrow,importance,urgent,priority,focus,high,symbol-icon
E8D1	GotoToday	calendar,date,time,planning,jump,current,symbol-icon
E8D2	Font	text,style,size,lettering,typography,symbol-icon
E8D3	FontColor	text,style,size,lettering,typography,symbol-icon,colour
E8D4	Contact2	person,user,symbol-icon
E8D5	FolderFill	collection,directory,file,storage
E8D6	Audio	music,sound,note,play,symbol-icon
E8D7	Permissions	key,security,password,access,symbol-icon
E8D8	DisableUpdates	arrow,settings,off,pause,symbol-icon,configuration
E8D9	Unfavorite	star,remove,unlike,delete,symbol-icon,unfavourite
E8DA	OpenLocal	folder,directory,file,symbol-icon
E8DB	Italic	text,style,slant,font,emphasis,symbol-icon
E8DC	Underline	text,style,font,emphasis,symbol-icon
E8DD	Bold	text,style,strong,font,emphasis,symbol-icon
E8DE	MoveToFolder	file,organize,transfer,symbol-icon
E8DF	LikeDislike	reaction,feedback,vote,symbol-icon
E8E0	Dislike	thumb,positive,approve,favor,agree,symbol-icon
E8E1	Like	thumb,negative,reject,disapprove,oppose,symbol-icon
